Id,Season,Episode,Chunk,Ex,Ey,Px,Py
215,4.0,20.0,6.0,0.5,0.5,-0.3,0.2
216,4.0,20.0,7.0,0.6,0.4,0.1,-0.1
217,4.0,20.0,8.0,0.5,0.6,-0.1,-0.2
218,4.0,20.0,9.0,0.4,0.5,0.2,-0.3
219,4.0,20.0,10.0,0.3,0.4,0.3,-0.1
220,4.0,19.0,1.0,0.6,-0.3,0.6,0.4
221,4.0,19.0,2.0,0.2,0.1,-0.4,0.2
222,4.0,19.0,3.0,0.2,0.2,-0.5,-0.3
223,4.0,19.0,4.0,0.2,-0.2,0.3,-0.2
224,4.0,19.0,5.0,0.1,0.2,0.4,-0.1
225,4.0,19.0,6.0,-0.1,-0.1,0.3,-0.3
226,4.0,19.0,7.0,0.3,0.2,0.3,-0.2
227,4.0,19.0,8.0,0.4,0.3,-0.1,-0.1
228,4.0,19.0,9.0,0.3,0.1,0.1,-0.1
229,4.0,19.0,10.0,0.2,0.1,0.1,-0.3
230,6.0,8.0,1.0,0.3,0.2,-0.4,0.1
231,6.0,8.0,2.0,0.4,0.3,-0.2,-0.1
232,6.0,8.0,3.0,0.3,0.2,-0.1,-0.1
233,6.0,8.0,4.0,0.2,0.2,0.1,-0.2
234,6.0,8.0,5.0,0.2,0.2,0.1,0.2
235,6.0,8.0,6.0,0.2,0.2,0.2,-0.1
236,6.0,8.0,7.0,0.2,0.1,0.2,-0.1
237,6.0,8.0,8.0,0.3,-0.1,0.1,-0.2
238,6.0,8.0,9.0,0.3,0.1,0.2,-0.2
239,6.0,8.0,10.0,0.3,0.1,0.3,-0.2
240,7.0,54.0,2.0,0.3,-0.1,-0.4,0.3
241,7.0,54.0,3.0,0.4,0.2,-0.3,0.2
242,7.0,54.0,4.0,0.5,0.3,-0.1,-0.1
243,7.0,54.0,5.0,0.3,0.1,0.1,0.2
244,7.0,54.0,6.0,0.4,-0.1,0.2,0.3
245,7.0,54.0,7.0,0.3,0.1,0.2,0.3
246,7.0,54.0,8.0,0.4,-0.2,0.1,0.4
247,7.0,54.0,9.0,0.5,-0.3,-0.2,0.2
248,7.0,54.0,10.0,0.6,-0.4,-0.3,0.2
249,7.0,54.0,1.0,0.4,-0.2,-0.3,0.5
250,7.0,55.0,1.0,0.3,-0.3,0.4,0.3
251,7.0,55.0,2.0,0.3,-0.4,0.2,0.4
252,7.0,55.0,3.0,0.5,-0.3,0.3,0.5
253,7.0,55.0,4.0,0.6,-0.4,-0.1,0.6
254,7.0,55.0,5.0,0.4,-0.3,-0.3,0.8
255,7.0,55.0,6.0,0.3,-0.1,-0.4,0.6
256,7.0,55.0,7.0,0.4,0.2,-0.3,0.6
257,7.0,55.0,8.0,0.5,0.1,-0.4,0.4
258,7.0,55.0,9.0,0.3,0.2,-0.2,0.2
259,7.0,55.0,10.0,0.2,0.3,-0.1,0.4
